Problem Size,Synchronisation,Number of Compute Workers,Repeat,Runtime,Reliable Fitness Rate
Small,Asynchronous,0,1,11861,X
Small,Asynchronous,1,1,12509,X
Small,Asynchronous,4,1,4890,X
Small,Asynchronous,8,1,3484,X
Small,Asynchronous,16,1,2690,X
Small,Asynchronous,24,1,2464,X
Small,Asynchronous,32,1,2412,X
Small,Asynchronous,40,1,2567,X
Small,Asynchronous,48,1,2700,X
Small,Asynchronous,56,1,2948,X
Small,Asynchronous,64,1,2955,X
Small,Asynchronous,0,2,11974,X
Small,Asynchronous,1,2,11713,X
Small,Asynchronous,4,2,5301,X
Small,Asynchronous,8,2,3471,X
Small,Asynchronous,16,2,2723,X
Small,Asynchronous,24,2,2480,X
Small,Asynchronous,32,2,2421,X
Small,Asynchronous,40,2,2522,X
Small,Asynchronous,48,2,2746,X
Small,Asynchronous,56,2,2848,X
Small,Asynchronous,64,2,2974,X
Small,Asynchronous,0,3,11973,X
Small,Asynchronous,1,3,12691,X
Small,Asynchronous,4,3,5086,X
Small,Asynchronous,8,3,3408,X
Small,Asynchronous,16,3,2601,X
Small,Asynchronous,24,3,2478,X
Small,Asynchronous,32,3,2295,X
Small,Asynchronous,40,3,2359,X
Small,Asynchronous,48,3,2730,X
Small,Asynchronous,56,3,2452,X
Small,Asynchronous,64,3,3110,X
Small,Asynchronous,0,4,12123,X
Small,Asynchronous,1,4,11899,X
Small,Asynchronous,4,4,5099,X
Small,Asynchronous,8,4,3482,X
Small,Asynchronous,16,4,2676,X
Small,Asynchronous,24,4,2494,X
Small,Asynchronous,32,4,2416,X
Small,Asynchronous,40,4,2562,X
Small,Asynchronous,48,4,2757,X
Small,Asynchronous,56,4,2861,X
Small,Asynchronous,64,4,2981,X
Small,Asynchronous,0,5,12085,X
Small,Asynchronous,1,5,11778,X
Small,Asynchronous,4,5,4851,X
Small,Asynchronous,8,5,3408,X
Small,Asynchronous,16,5,2623,X
Small,Asynchronous,24,5,2374,X
Small,Asynchronous,32,5,2470,X
Small,Asynchronous,40,5,2353,X
Small,Asynchronous,48,5,2376,X
Small,Asynchronous,56,5,2863,X
Small,Asynchronous,64,5,2532,X
Small,Asynchronous,0,6,12014,X
Small,Asynchronous,1,6,12172,X
Small,Asynchronous,4,6,5369,X
Small,Asynchronous,8,6,3369,X
Small,Asynchronous,16,6,2713,X
Small,Asynchronous,24,6,2475,X
Small,Asynchronous,32,6,2359,X
Small,Asynchronous,40,6,2366,X
Small,Asynchronous,48,6,2741,X
Small,Asynchronous,56,6,2881,X
Small,Asynchronous,64,6,2971,X
Small,Asynchronous,0,7,12344,X
Small,Asynchronous,1,7,12636,X
Small,Asynchronous,4,7,5098,X
Small,Asynchronous,8,7,3531,X
Small,Asynchronous,16,7,2691,X
Small,Asynchronous,24,7,2493,X
Small,Asynchronous,32,7,2364,X
Small,Asynchronous,40,7,2566,X
Small,Asynchronous,48,7,2722,X
Small,Asynchronous,56,7,2435,X
Small,Asynchronous,64,7,2964,X
Small,Asynchronous,0,8,12248,X
Small,Asynchronous,1,8,12990,X
Small,Asynchronous,4,8,4861,X
Small,Asynchronous,8,8,3316,X
Small,Asynchronous,16,8,2520,X
Small,Asynchronous,24,8,2537,X
Small,Asynchronous,32,8,2331,X
Small,Asynchronous,40,8,2320,X
Small,Asynchronous,48,8,2402,X
Small,Asynchronous,56,8,2484,X
Small,Asynchronous,64,8,2520,X
Small,Asynchronous,0,9,12440,X
Small,Asynchronous,1,9,12811,X
Small,Asynchronous,4,9,5083,X
Small,Asynchronous,8,9,3406,X
Small,Asynchronous,16,9,2636,X
Small,Asynchronous,24,9,2491,X
Small,Asynchronous,32,9,2450,X
Small,Asynchronous,40,9,2548,X
Small,Asynchronous,48,9,2421,X
Small,Asynchronous,56,9,2856,X
Small,Asynchronous,64,9,3113,X
Small,Asynchronous,0,10,12368,X
Small,Asynchronous,1,10,12220,X
Small,Asynchronous,4,10,5121,X
Small,Asynchronous,8,10,3335,X
Small,Asynchronous,16,10,2614,X
Small,Asynchronous,24,10,2413,X
Small,Asynchronous,32,10,2440,X
Small,Asynchronous,40,10,2526,X
Small,Asynchronous,48,10,2389,X
Small,Asynchronous,56,10,2865,X
Small,Asynchronous,64,10,2953,X
Small,Synchronous,0,1,12084,X
Small,Synchronous,1,1,15169,X
Small,Synchronous,4,1,5674,X
Small,Synchronous,8,1,3659,X
Small,Synchronous,16,1,2756,X
Small,Synchronous,24,1,2800,X
Small,Synchronous,32,1,2550,X
Small,Synchronous,40,1,2681,X
Small,Synchronous,48,1,3347,X
Small,Synchronous,56,1,2666,X
Small,Synchronous,64,1,3702,X
Small,Synchronous,0,2,12743,X
Small,Synchronous,1,2,15225,X
Small,Synchronous,4,2,5673,X
Small,Synchronous,8,2,3601,X
Small,Synchronous,16,2,2706,X
Small,Synchronous,24,2,2802,X
Small,Synchronous,32,2,2900,X
Small,Synchronous,40,2,3677,X
Small,Synchronous,48,2,3178,X
Small,Synchronous,56,2,3577,X
Small,Synchronous,64,2,3479,X
Small,Synchronous,0,3,12219,X
Small,Synchronous,1,3,15365,X
Small,Synchronous,4,3,5734,X
Small,Synchronous,8,3,3677,X
Small,Synchronous,16,3,2789,X
Small,Synchronous,24,3,2916,X
Small,Synchronous,32,3,2623,X
Small,Synchronous,40,3,3494,X
Small,Synchronous,48,3,3344,X
Small,Synchronous,56,3,4221,X
Small,Synchronous,64,3,3068,X
Small,Synchronous,0,4,12479,X
Small,Synchronous,1,4,15590,X
Small,Synchronous,4,4,5616,X
Small,Synchronous,8,4,3567,X
Small,Synchronous,16,4,2708,X
Small,Synchronous,24,4,2912,X
Small,Synchronous,32,4,3111,X
Small,Synchronous,40,4,3718,X
Small,Synchronous,48,4,4006,X
Small,Synchronous,56,4,2463,X
Small,Synchronous,64,4,2941,X
Small,Synchronous,0,5,12367,X
Small,Synchronous,1,5,14791,X
Small,Synchronous,4,5,5646,X
Small,Synchronous,8,5,3523,X
Small,Synchronous,16,5,2741,X
Small,Synchronous,24,5,2704,X
Small,Synchronous,32,5,2805,X
Small,Synchronous,40,5,3065,X
Small,Synchronous,48,5,3435,X
Small,Synchronous,56,5,2851,X
Small,Synchronous,64,5,4040,X
Small,Synchronous,0,6,12562,X
Small,Synchronous,1,6,15444,X
Small,Synchronous,4,6,5747,X
Small,Synchronous,8,6,3593,X
Small,Synchronous,16,6,2627,X
Small,Synchronous,24,6,2805,X
Small,Synchronous,32,6,3058,X
Small,Synchronous,40,6,3075,X
Small,Synchronous,48,6,2756,X
Small,Synchronous,56,6,4056,X
Small,Synchronous,64,6,3747,X
Small,Synchronous,0,7,12341,X
Small,Synchronous,1,7,15619,X
Small,Synchronous,4,7,5552,X
Small,Synchronous,8,7,3560,X
Small,Synchronous,16,7,2700,X
Small,Synchronous,24,7,2708,X
Small,Synchronous,32,7,2635,X
Small,Synchronous,40,7,2874,X
Small,Synchronous,48,7,3993,X
Small,Synchronous,56,7,3195,X
Small,Synchronous,64,7,4038,X
Small,Synchronous,0,8,12932,X
Small,Synchronous,1,8,14874,X
Small,Synchronous,4,8,5684,X
Small,Synchronous,8,8,3580,X
Small,Synchronous,16,8,2642,X
Small,Synchronous,24,8,2720,X
Small,Synchronous,32,8,2970,X
Small,Synchronous,40,8,3041,X
Small,Synchronous,48,8,2772,X
Small,Synchronous,56,8,3422,X
Small,Synchronous,64,8,3724,X
Small,Synchronous,0,9,12486,X
Small,Synchronous,1,9,14858,X
Small,Synchronous,4,9,5762,X
Small,Synchronous,8,9,3480,X
Small,Synchronous,16,9,2809,X
Small,Synchronous,24,9,2760,X
Small,Synchronous,32,9,2855,X
Small,Synchronous,40,9,3530,X
Small,Synchronous,48,9,3367,X
Small,Synchronous,56,9,3619,X
Small,Synchronous,64,9,3722,X
Small,Synchronous,0,10,12918,X
Small,Synchronous,1,10,15698,X
Small,Synchronous,4,10,5736,X
Small,Synchronous,8,10,3566,X
Small,Synchronous,16,10,2632,X
Small,Synchronous,24,10,2814,X
Small,Synchronous,32,10,2788,X
Small,Synchronous,40,10,3205,X
Small,Synchronous,48,10,3361,X
Small,Synchronous,56,10,3621,X
Small,Synchronous,64,10,3729,X
Large,Asynchronous,0,1,14442,X
Large,Asynchronous,1,1,14725,X
Large,Asynchronous,4,1,5698,X
