Number of Compute Workers,Repeat,Iteration,Clustering Fitness,Locality Fitness
0,1,0.000000e+00,-5.207160e+09,-3.876090e+10
0,1,1.000000e+07,-5.861320e+09,-2.093120e+10
0,1,2.000000e+07,-5.798480e+09,-1.672450e+10
0,1,3.000000e+07,-5.677780e+09,-1.462220e+10
0,1,4.000000e+07,-5.574080e+09,-1.329000e+10
0,1,5.000000e+07,-5.491330e+09,-1.234710e+10
0,1,6.000000e+07,-5.423660e+09,-1.161160e+10
0,1,7.000000e+07,-5.364660e+09,-1.099290e+10
0,1,8.000000e+07,-5.316590e+09,-1.050200e+10
0,1,9.000000e+07,-5.277360e+09,-1.008930e+10
0,1,1.000000e+08,-5.244040e+09,-9.735840e+09
0,1,1.100000e+08,-5.215150e+09,-9.427580e+09
0,1,1.200000e+08,-5.189870e+09,-9.150770e+09
0,1,1.300000e+08,-5.167960e+09,-8.902860e+09
0,1,1.400000e+08,-5.147710e+09,-8.679170e+09
0,1,1.500000e+08,-5.128880e+09,-8.477260e+09
0,1,1.600000e+08,-5.111510e+09,-8.296720e+09
0,1,1.700000e+08,-5.095350e+09,-8.133360e+09
0,1,1.800000e+08,-5.079610e+09,-7.982500e+09
0,1,1.900000e+08,-5.064350e+09,-7.843830e+09
0,1,2.000000e+08,-5.049760e+09,-7.715780e+09
0,1,2.100000e+08,-5.035860e+09,-7.594850e+09
0,1,2.200000e+08,-5.022610e+09,-7.480360e+09
0,1,2.300000e+08,-5.009660e+09,-7.374830e+09
0,1,2.400000e+08,-4.997470e+09,-7.274070e+09
0,1,2.500000e+08,-4.985330e+09,-7.179050e+09
0,1,2.600000e+08,-4.973580e+09,-7.089650e+09
0,1,2.700000e+08,-4.962310e+09,-7.003950e+09
0,1,2.800000e+08,-4.951330e+09,-6.920780e+09
0,1,2.900000e+08,-4.940380e+09,-6.843080e+09
0,1,3.000000e+08,-4.929570e+09,-6.768330e+09
0,1,3.100000e+08,-4.918850e+09,-6.696280e+09
0,1,3.200000e+08,-4.908610e+09,-6.627470e+09
0,1,3.300000e+08,-4.898550e+09,-6.561700e+09
0,1,3.400000e+08,-4.888490e+09,-6.497870e+09
0,1,3.500000e+08,-4.878580e+09,-6.436300e+09
0,1,3.600000e+08,-4.868880e+09,-6.375950e+09
0,1,3.700000e+08,-4.859360e+09,-6.318440e+09
0,1,3.800000e+08,-4.849800e+09,-6.263430e+09
0,1,3.900000e+08,-4.840490e+09,-6.210170e+09
0,1,4.000000e+08,-4.831210e+09,-6.158910e+09
0,1,4.100000e+08,-4.822100e+09,-6.108420e+09
0,1,4.200000e+08,-4.812880e+09,-6.059820e+09
0,1,4.300000e+08,-4.803850e+09,-6.012540e+09
0,1,4.400000e+08,-4.795070e+09,-5.966540e+09
0,1,4.500000e+08,-4.786280e+09,-5.922020e+09
0,1,4.600000e+08,-4.777210e+09,-5.878470e+09
0,1,4.700000e+08,-4.768230e+09,-5.836910e+09
0,1,4.800000e+08,-4.759800e+09,-5.794900e+09
0,1,4.900000e+08,-4.751500e+09,-5.753950e+09
0,1,5.000000e+08,-4.743230e+09,-5.714250e+09
0,1,5.100000e+08,-4.734900e+09,-5.675490e+09
0,1,5.200000e+08,-4.726670e+09,-5.636940e+09
0,1,5.300000e+08,-4.718450e+09,-5.599860e+09
0,1,5.400000e+08,-4.710470e+09,-5.564030e+09
0,1,5.500000e+08,-4.702530e+09,-5.528500e+09
0,1,5.600000e+08,-4.694250e+09,-5.494580e+09
0,1,5.700000e+08,-4.686370e+09,-5.460360e+09
0,1,5.800000e+08,-4.678430e+09,-5.427480e+09
0,1,5.900000e+08,-4.670260e+09,-5.395240e+09
0,1,6.000000e+08,-4.662500e+09,-5.363180e+09
0,1,6.100000e+08,-4.654650e+09,-5.331930e+09
0,1,6.200000e+08,-4.646800e+09,-5.301400e+09
0,1,6.300000e+08,-4.639180e+09,-5.271200e+09
0,1,6.400000e+08,-4.631670e+09,-5.241350e+09
0,1,6.500000e+08,-4.624070e+09,-5.211760e+09
0,1,6.600000e+08,-4.616490e+09,-5.184200e+09
