Number of Compute Workers,Repeat,Iteration,Clustering Fitness,Locality Fitness
0,1,0.0,-2605200000.0,-13042200000.0
0,1,50000000.0,-2643850000.0,-11008100000.0
0,1,100000000.0,-2738150000.0,-8616070000.0
0,1,150000000.0,-2725420000.0,-6850120000.0
0,1,200000000.0,-2671170000.0,-5590730000.0
0,1,250000000.0,-2633890000.0,-4661040000.0
0,1,300000000.0,-2612310000.0,-4009180000.0
0,1,350000000.0,-2598210000.0,-3545790000.0
0,1,400000000.0,-2586190000.0,-3204690000.0
0,1,450000000.0,-2575350000.0,-2944470000.0
0,1,500000000.0,-2564470000.0,-2736210000.0
0,1,550000000.0,-2553990000.0,-2566790000.0
0,1,600000000.0,-2543650000.0,-2424370000.0
0,1,650000000.0,-2533430000.0,-2303490000.0
0,1,700000000.0,-2523040000.0,-2200520000.0
0,1,750000000.0,-2512620000.0,-2109240000.0
0,1,800000000.0,-2502630000.0,-2027870000.0
0,1,850000000.0,-2492650000.0,-1955030000.0
0,1,900000000.0,-2482590000.0,-1890810000.0
0,1,950000000.0,-2472330000.0,-1832610000.0
0,1,1000000000.0,-2458410000.0,-1777120000.0
0,1,1050000000.0,-2444920000.0,-1728400000.0
0,1,1100000000.0,-2431720000.0,-1684150000.0
0,1,1150000000.0,-2418900000.0,-1643240000.0
0,1,1200000000.0,-2406230000.0,-1605650000.0
0,1,1250000000.0,-2393550000.0,-1569720000.0
0,1,1300000000.0,-2381070000.0,-1537000000.0
0,1,1350000000.0,-2368540000.0,-1506810000.0
0,1,1400000000.0,-2356160000.0,-1478210000.0
0,1,1450000000.0,-2343790000.0,-1450530000.0
0,1,1500000000.0,-2331400000.0,-1424940000.0
0,1,1550000000.0,-2319050000.0,-1400840000.0
0,1,1600000000.0,-2306840000.0,-1377510000.0
0,1,1650000000.0,-2294500000.0,-1355850000.0
0,1,1700000000.0,-2282460000.0,-1334800000.0
0,1,1750000000.0,-2270390000.0,-1314950000.0
0,1,1800000000.0,-2258450000.0,-1296280000.0
0,1,1850000000.0,-2246710000.0,-1277940000.0
0,1,1900000000.0,-2235000000.0,-1260570000.0
0,1,1950000000.0,-2223280000.0,-1243410000.0
0,1,2000000000.0,-2211610000.0,-1227490000.0
0,1,2049999999.9999998,-2200080000.0,-1212010000.0
0,1,2100000000.0,-2188500000.0,-1196690000.0
0,1,2150000000.0,-2176990000.0,-1182310000.0
0,1,2200000000.0,-2165480000.0,-1168450000.0
0,1,2250000000.0,-2157570000.0,-1155290000.0
0,1,2300000000.0,-2151660000.0,-1142570000.0
0,1,2350000000.0,-2145930000.0,-1130240000.0
0,1,2400000000.0,-2141150000.0,-1118480000.0
0,1,2450000000.0,-2136760000.0,-1106920000.0
0,1,2500000000.0,-2132420000.0,-1095500000.0
0,1,2550000000.0,-2128200000.0,-1084400000.0
0,1,2600000000.0,-2123930000.0,-1073950000.0
0,1,2650000000.0,-2119460000.0,-1063700000.0
0,1,2700000000.0,-2115080000.0,-1054250000.0
0,1,2750000000.0,-2110760000.0,-1044900000.0
0,1,2800000000.0,-2106470000.0,-1035880000.0
0,1,2849999999.9999995,-2102180000.0,-1027540000.0
0,1,2900000000.0,-2097880000.0,-1018880000.0
0,1,2950000000.0,-2093620000.0,-1010260000.0
0,1,3000000000.0,-2089350000.0,-1002080000.0
0,1,3050000000.0,-2085140000.0,-993976000.0
0,1,3100000000.0,-2080810000.0,-985830000.0
0,1,3150000000.0,-2076520000.0,-978256000.0
0,1,3200000000.0,-2072270000.0,-970596000.0
0,1,3250000000.0,-2068060000.0,-963147000.0
0,1,3300000000.0,-2063840000.0,-955437000.0
0,1,3350000000.0,-2059630000.0,-948080000.0
0,1,3400000000.0,-2055430000.0,-940966000.0
0,1,3449999999.9999995,-2051270000.0,-934240000.0
0,1,3500000000.0,-2047100000.0,-927514000.0
0,1,3550000000.0,-2042880000.0,-921075000.0
0,1,3600000000.0,-2038720000.0,-914712000.0
0,1,3650000000.0,-2034580000.0,-908521000.0
0,1,3700000000.0,-2030450000.0,-902572000.0
0,1,3750000000.0,-2026250000.0,-896782000.0
0,1,3800000000.0,-2022050000.0,-890823000.0
0,1,3850000000.0,-2017930000.0,-885520000.0
0,1,3900000000.0,-2013840000.0,-880002000.0
0,1,3950000000.0,-2009750000.0,-874575000.0
0,1,4000000000.0,-2005640000.0,-869252000.0
0,1,4050000000.0000000,-2001490000.0,-863975000.0
0,1,4099999999.9999995,-1997300000.0,-858595000.0
0,1,4150000000.0,-1993200000.0,-853799000.0
0,1,4200000000.0,-1989170000.0,-849033000.0
0,1,4250000000.0,-1985130000.0,-844168000.0
0,1,4300000000.0,-1981070000.0,-839500000.0
0,1,4350000000.0,-1977060000.0,-835020000.0
0,1,4400000000.0,-1973060000.0,-830607000.0
0,1,4450000000.0,-1969000000.0,-826178000.0
0,1,4500000000.0,-1965010000.0,-821693000.0
0,1,4550000000.0,-1960990000.0,-817135000.0
0,1,4600000000.0,-1956950000.0,-812788000.0
0,1,4650000000.0,-1952890000.0,-808438000.0
0,1,4700000000.0,-1948850000.0,-804432000.0
0,1,4750000000.0,-1944820000.0,-800513000.0
0,1,4800000000.0,-1940840000.0,-796494000.0
0,1,4850000000.0,-1936830000.0,-792641000.0
0,1,4900000000.0,-1932800000.0,-788991000.0
0,1,5000000000.0,-1928770000.0,-785341000.0
0,1,5000000000.0,-1928770000.0,-785341000.0
64,1,0,-2.60513e+09,-1.30508e+10
64,1,250000000,-2.60828e+09,-1.04814e+09
64,1,500000000,-2.60596e+09,-8.69132e+08
64,1,750000000,-2.60605e+09,-8.56337e+08
64,1,1000000000,-2.60579e+09,-8.59364e+08
64,1,1250000000,-2.60586e+09,-8.58989e+08
64,1,1500000000,-2.6058e+09,-8.57979e+08
64,1,1750000000,-2.60583e+09,-8.58643e+08
64,1,2000000000,-2.60585e+09,-8.5779e+08
64,1,2250000000,-2.60582e+09,-8.56502e+08
64,1,2500000000,-2.60577e+09,-8.57372e+08
64,1,2750000000,-2.60579e+09,-8.56546e+08
64,1,3000000000,-2.60584e+09,-8.59061e+08
64,1,3250000000,-2.60585e+09,-8.57748e+08
64,1,3500000000,-2.6059e+09,-8.58974e+08
64,1,3750000000,-2.6058e+09,-8.58467e+08
64,1,4000000000,-2.60586e+09,-8.57339e+08
